Comment,Designator,Footprint,LCSC Part #
10uF 25V,C1,C_0805_2012Metric,C15850
4.7uF 50V X7R,C2,C_1206_3216Metric,C29823
100nF,C3,C_0805_2012Metric,C49678
B5819W 40V 1A,D1,D_SOD-123,C8598
IR 850nm 120deg,"D2,D3,D4,D5,D6,D7,D8,D9",LED_3535_JNJ_EW120,C22447930
PicoBlade/MX1.25 5p R/A THT,J1,Molex_PicoBlade_53048-0510_1x05_P1.25mm_Horizontal_Ring0.275,C588276
33uH SWPA4030S330MT,L1,L_Sunlord_SWPA4030S,C83470
AO3400A,Q1,SOT-23,C20917
4.02R 1%,"R1a,R1b",R_0805_2012Metric,C367870
1M,R2,R_0805_2012Metric,C17514
1k,R3,R_0805_2012Metric,C17513
100k,"R4,R6,R7",R_0805_2012Metric,C149504
SY7200A,U1,SOT-23-6,C107309
TEMT6200FX01,U2,TEMT6200_0805,C143695
