Designator,Mid X,Mid Y,Layer,Rotation
C1,155.657400mm,-86.867400mm,Bottom,170.000000
C2,146.864800mm,-93.542000mm,Bottom,80.000000
C3,152.262900mm,-87.690500mm,Bottom,80.000000
D1,151.007000mm,-95.389300mm,Bottom,-10.000000
D2,158.537800mm,-96.404500mm,Top,-49.430000
D3,161.598200mm,-104.620900mm,Top,-88.340000
D4,158.497700mm,-112.977700mm,Top,-128.590000
D5,150.739300mm,-117.883300mm,Top,-170.140000
D6,141.866400mm,-115.944500mm,Top,148.780000
D7,136.003800mm,-108.677800mm,Top,106.400000
D8,136.148700mm,-99.729200mm,Top,66.890000
D9,141.839300mm,-93.196000mm,Top,29.430000
J1,147.874000mm,-121.873400mm,Bottom,169.132000
L1,155.686900mm,-90.731200mm,Bottom,170.000000
Q1,132.929100mm,-104.047600mm,Bottom,-3.500000
R1a,146.748300mm,-88.444300mm,Bottom,80.000000
R1b,143.990800mm,-87.958100mm,Bottom,80.000000
R2,149.702400mm,-87.239000mm,Bottom,80.000000
R3,131.643400mm,-108.891700mm,Bottom,103.000000
R4,132.192300mm,-99.225100mm,Bottom,70.500000
R6,147.307400mm,-89.846900mm,Top,169.800000
R7,154.923800mm,-91.224100mm,Top,169.800000
U1,150.844300mm,-91.705100mm,Bottom,80.000000
U2,151.170000mm,-90.220000mm,Top,-10.200000
